code,name,specialty,schemes,cap_inr,length_of_stay_days,notes,source
BM006B,Post Burn Contracture surgeries for Functional Improvement (Package including...,Plastic,PMJAY,62500,3,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments,contracture release & split skin graft with or without flap reconstruction,silicone - gel sheet and physiotherapy): contracture; Contracture Neck release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post-operative regular dressings for STSG / FTSG / Flap cover.",pmjay_hbp_2022
ER001A,Laceration - Suturing / Dressing,General,PMJAY,2000,3,Laceration - Suturing / Dressing,pmjay_hbp_2022
ER002A,Emergency with stable cardiopulmonary status,General,PMJAY,2000,3,Emergency with stable cardiopulmonary status,pmjay_hbp_2022
ER002B,Emergency with unstable cardiopulmonary with status resuccitation,General,PMJAY,11000,3,Emergency with unstable cardiopulmonary with status resuccitation,pmjay_hbp_2022
ER003A,Animal bites (Excluding Snake Bite),General,PMJAY,1700,3,Animal bites (Excluding Snake Bite),pmjay_hbp_2022
SB001A,Fracture - Conservative Management - Without plaster,Orthopaedic,PMJAY,2300,3,Fracture - Conservative Management - Without plaster,pmjay_hbp_2022
SU073A,Emergency management of Hematuria(per day) LOS-1-5 days,Urology,PMJAY,2700,1,Emergency management of Hematuria(per day) LOS-1-5 days,pmjay_hbp_2022
HD001A,Lymphangiography,General,PMJAY,10920,1,Lymphangiography,pmjay_hbp_2022
HD002A,Diagnostic venography (DVA),General,PMJAY,5520,1,Diagnostic venography (DVA),pmjay_hbp_2022
HD003A,IVUS(Intravascular Ultrasound)- peripheral vessels,General,PMJAY,16560,1,IVUS(Intravascular Ultrasound)- peripheral vessels,pmjay_hbp_2022
HD004A,Diskography,General,PMJAY,5520,3,Diskography,pmjay_hbp_2022
HD005A,USG guided percutaneous biopsy,General,PMJAY,2520,1,USG guided percutaneous biopsy,pmjay_hbp_2022
HD006A,USG guided percutaneous FNAC,General,PMJAY,720,1,USG guided percutaneous FNAC,pmjay_hbp_2022
HD007A,USG guided percutaneous needle aspiration,General,PMJAY,720,3,USG guided percutaneous needle aspiration,pmjay_hbp_2022
HD008A,CT guided percutaneous biopsy,General,PMJAY,3720,1,CT guided percutaneous biopsy,pmjay_hbp_2022
HD009A,CT guided percutaneous FNAC,General,PMJAY,3120,1,CT guided percutaneous FNAC,pmjay_hbp_2022
HD010A,CT guided percutaneous needle aspiration,General,PMJAY,3120,3,CT guided percutaneous needle aspiration,pmjay_hbp_2022
HD011A,Genetic workup,General,PMJAY,20000,3,Genetic workup,pmjay_hbp_2022
HD012A,Metabolic work up,General,PMJAY,30000,3,Metabolic work up,pmjay_hbp_2022
HD013A,Vedio EEG Monitoring Test (VEEG),General,PMJAY,3600,3,Vedio EEG Monitoring Test (VEEG),pmjay_hbp_2022
HM001A,Recombinant tissue plasminogen activator- 0,General,PMJAY,42000,3,Recombinant tissue plasminogen activator- 0.9 mg/kg (not to exceed 90 mg total treatment dose) infused over 60 minutes.,pmjay_hbp_2022
HM002A,Tenecteplase - 0,General,PMJAY,24900,3,Tenecteplase - 0.2 mg/kg given as a bolus dose over 1-2min volume of TNK to be administered at a dilution of 2mg/ml,pmjay_hbp_2022
HM003A,Heparin - Based on weight and age of patient,General,PMJAY,15000,3,Heparin - Based on weight and age of patient,pmjay_hbp_2022
HM004A,Methylprednisolone - 0,General,PMJAY,25000,3,Methylprednisolone - 0.117-1.66 orally divided mg/kg/day every 6-8 hours,pmjay_hbp_2022
HM005A,Erythropoeitin - 5000 units- Rs700 10000 units-Rs1000,General,PMJAY,0,3,Erythropoeitin - 5000 units- Rs700 10000 units-Rs1000,pmjay_hbp_2022
HM006A,Liposomal amphotericin - for 2,General,PMJAY,125000,3,Liposomal amphotericin - for 2.5 Gm dosage. @ 2500 per 50mg,pmjay_hbp_2022
HM007A,IVIG - 3000 per GM @ 2 GM/Per Kg body weight,General,PMJAY,200000,3,"IVIG - 3000 per GM @ 2 GM/Per Kg body weight. Almost 20 GM in adult dose.( Mx. Of 200000 , paid on actual utilization)",pmjay_hbp_2022
HM008A,IvIg for Kawasaki Disease - 0,General,PMJAY,2000,3,IvIg for Kawasaki Disease - 0.4 gm/Kg body wt/day ( price per gram),pmjay_hbp_2022
HM009A,IvIg for GB Syndrome - 2gm /Kg body weight ( price per gram),General,PMJAY,2000,3,IvIg for GB Syndrome - 2gm /Kg body weight ( price per gram),pmjay_hbp_2022
HM010A,IvIg for ITP - 1gm /Kg body weight ( price per gram),General,PMJAY,2000,3,IvIg for ITP - 1gm /Kg body weight ( price per gram),pmjay_hbp_2022
HM011A,Rituximab - 500mg to 1 gm ( Price per 500mg/50ml box),General,PMJAY,7500,3,Rituximab - 500mg to 1 gm ( Price per 500mg/50ml box),pmjay_hbp_2022
HM012A,Human Albumin 20% - 250-500ml (Price per 100ml infusion),General,PMJAY,6000,3,Human Albumin 20% - 250-500ml (Price per 100ml infusion),pmjay_hbp_2022
HM013A,Albumin (Price per 5% 100ml - 250-500ml infusion),General,PMJAY,3000,3,Albumin (Price per 5% 100ml - 250-500ml infusion),pmjay_hbp_2022
HM017A,Imipenem - 1gm147,General,PMJAY,7000,3,Imipenem - 1gm147.57. 3 gm per day dose,pmjay_hbp_2022
HM018A,Meropenem - 1gm 159,General,PMJAY,7000,3,Meropenem - 1gm 159.93. 3 gm Per day dose,pmjay_hbp_2022
HM019A,Piperacillin-Tazobactem - 4,General,PMJAY,3000,3,Piperacillin-Tazobactem - 4.5gm 66.52. 4.5gm TDS per day dose,pmjay_hbp_2022
HM020A,Colistin - 1 MU 73,General,PMJAY,7000,3,Colistin - 1 MU 73.92. Dose 9 MU,pmjay_hbp_2022
HM021A,Vancomycin 45: 15,General,PMJAY,2100,3,Vancomycin 45.15. 2gm per - 500mg day dose.,pmjay_hbp_2022
HM022A,Amphotericin deoxycholate - 50mg 121,General,PMJAY,1000,3,Amphotericin deoxycholate - 50mg 121.06.,pmjay_hbp_2022
HP001A,USG guided percutaneous Radiofrequency Ablation (RFA),General,PMJAY,26640,3,USG guided percutaneous Radiofrequency Ablation (RFA),pmjay_hbp_2022
HP002A,USG guided percutaneous Microwave Ablation (MWA),General,PMJAY,30640,3,USG guided percutaneous Microwave Ablation (MWA),pmjay_hbp_2022
HP003A,CT guided percutaneous Radiofrequency Ablation (RFA),General,PMJAY,29040,3,CT guided percutaneous Radiofrequency Ablation (RFA),pmjay_hbp_2022
HP004A,CT guided percutaneous Microwave Ablation (MWA),General,PMJAY,33040,3,CT guided percutaneous Microwave Ablation (MWA),pmjay_hbp_2022
HP005A,USG guided percutaneous catheter drainage,General,PMJAY,5820,3,USG guided percutaneous catheter drainage,pmjay_hbp_2022
HP006A,CT guided percutaneous catheter drainage,General,PMJAY,5820,3,CT guided percutaneous catheter drainage,pmjay_hbp_2022
HP007A,Cerebral angiogram under local anesthesia,General,PMJAY,5800,3,Cerebral angiogram under local anesthesia,pmjay_hbp_2022
HP008A,Cerebral angiogram under general anesthesia,General,PMJAY,18900,3,Cerebral angiogram under general anesthesia,pmjay_hbp_2022
HP009A,Spinal Angiogram under general anesthesia,General,PMJAY,18900,3,Spinal Angiogram under general anesthesia,pmjay_hbp_2022
HP010A,Plasmapheresis,General,PMJAY,70000,3,Plasmapheresis,pmjay_hbp_2022
ID001A,Screening Test for COVID- 19 Infection,Infectious,PMJAY,1500,1,Screening Test for COVID- 19 Infection,pmjay_hbp_2022
ID001B,Test COVID-19 for Confirmation Infection of,Infectious,PMJAY,3000,3,Test COVID-19 for Confirmation Infection of,pmjay_hbp_2022
ID003A,Treatment of COVID-19 Infection,Infectious,PMJAY,0,3,Treatment of COVID-19 Infection,pmjay_hbp_2022
ID005A,Treatment of systemic fungal infections,Infectious,PMJAY,0,3,Treatment of systemic fungal infections,pmjay_hbp_2022
MC002A,For Deep vein thrombosis (DVT),Cardiac,PMJAY,38500,3,For Deep vein thrombosis (DVT),pmjay_hbp_2022
MC002B,For Mesenteric Thrombosis,Cardiac,PMJAY,38500,3,For Mesenteric Thrombosis,pmjay_hbp_2022
MC002C,For Peripheral vessels,Cardiac,PMJAY,38500,3,For Peripheral vessels,pmjay_hbp_2022
MG0100A,Chronic PD catheter Insertion,Dialysis,PMJAY,4100,1,Chronic PD catheter Insertion,pmjay_hbp_2022
MG082A,Bone marrow aspiration of biopsy,ENT,PMJAY,1200,1,Bone marrow aspiration of biopsy,pmjay_hbp_2022
MG083A,Lumbar puncture,ENT,PMJAY,100,3,Lumbar puncture,pmjay_hbp_2022
MG084A,Joint Aspiration,ENT,PMJAY,200,3,Joint Aspiration,pmjay_hbp_2022
MG085A,DVT Pneumatic Compression Stockings (Add on package in ICU),ENT,PMJAY,900,3,DVT Pneumatic Compression Stockings (Add on package in ICU),pmjay_hbp_2022
MG097A,Endobronchial guided fine needle Ultrasound biopsy,Pulmonary,PMJAY,15700,1,Endobronchial guided fine needle Ultrasound biopsy,pmjay_hbp_2022
SU008A,Nephrostomy - Percutaneous ultrasound guided,Neurosurgery,PMJAY,18800,1,Nephrostomy - Percutaneous ultrasound guided,pmjay_hbp_2022
MC001A,Right Heart Catheterization,Cardiac,PMJAY,12500,3,Right Heart Catheterization,pmjay_hbp_2022
MC001B,Left Heart Catheterization,Cardiac,PMJAY,12500,3,Left Heart Catheterization,pmjay_hbp_2022
MC002A,For Deep vein thrombosis (DVT),Cardiac,PMJAY,38500,3,For Deep vein thrombosis (DVT),pmjay_hbp_2022
MC002B,For Mesenteric Thrombosis,Cardiac,PMJAY,38500,3,For Mesenteric Thrombosis,pmjay_hbp_2022
MC002C,For Peripheral vessels,Cardiac,PMJAY,38500,3,For Peripheral vessels,pmjay_hbp_2022
MC003A,Coarctation of Aorta,Cardiac,PMJAY,48300,3,Coarctation of Aorta,pmjay_hbp_2022
MC003B,Pulmonary Artery Stenosis,Cardiac,PMJAY,48300,3,Pulmonary Artery Stenosis,pmjay_hbp_2022
MC004A,Balloon Pulmonary Valvotomy,Cardiac,PMJAY,29300,3,Balloon Pulmonary Valvotomy,pmjay_hbp_2022
MC004B,Balloon Aortic Valvotomy,Cardiac,PMJAY,29300,3,Balloon Aortic Valvotomy,pmjay_hbp_2022
MC005A,Balloon Mitral Valvotomy,Cardiac,PMJAY,44700,3,Balloon Mitral Valvotomy,pmjay_hbp_2022
MC006A,Balloon Atrial Septostomy,Cardiac,PMJAY,30500,3,Balloon Atrial Septostomy,pmjay_hbp_2022
MC007A,ASD Device Closure,Cardiac,PMJAY,46200,3,ASD Device Closure,pmjay_hbp_2022
MC008A,VSD Device Closure,Cardiac,PMJAY,47400,3,VSD Device Closure,pmjay_hbp_2022
MC009A,PDA Device Closure,Cardiac,PMJAY,40800,3,PDA Device Closure,pmjay_hbp_2022
MC010A,PDA stenting,Cardiac,PMJAY,50400,3,PDA stenting,pmjay_hbp_2022
MC011A,"PTCA, inclusive of diagnostic angiogram",Cardiac,PMJAY,50800,3,"PTCA, inclusive of diagnostic angiogram",pmjay_hbp_2022
MC012A,Electrophysiological Study,Cardiac,PMJAY,34700,3,Electrophysiological Study,pmjay_hbp_2022
MC012B,Electrophysiological Study with Radio Frequency Ablation,Cardiac,PMJAY,34700,3,Electrophysiological Study with Radio Frequency Ablation,pmjay_hbp_2022
MC013A,Percutaneous Transluminal Septal Myocardial Ablation,Cardiac,PMJAY,42500,3,Percutaneous Transluminal Septal Myocardial Ablation,pmjay_hbp_2022
MC014A,Temporary Pacemaker implantation,Cardiac,PMJAY,24000,3,Temporary Pacemaker implantation,pmjay_hbp_2022
MC015A,Permanent Pacemaker Implantation - Single Chamber,Cardiac,PMJAY,30700,3,Permanent Pacemaker Implantation - Single Chamber,pmjay_hbp_2022
MC016A,Permanent Pacemaker Implantation - Double Chamber,Cardiac,PMJAY,41300,3,Permanent Pacemaker Implantation - Double Chamber,pmjay_hbp_2022
MC017A,Peripheral Angioplasty,Cardiac,PMJAY,43200,3,Peripheral Angioplasty,pmjay_hbp_2022
MC018A,Bronchial artery Embolisation (for Haemoptysis),Cardiac,PMJAY,41000,3,Bronchial artery Embolisation (for Haemoptysis),pmjay_hbp_2022
MC019A,Pericardiocentesis,Cardiac,PMJAY,15200,3,Pericardiocentesis,pmjay_hbp_2022
MC020A,Systemic (for MI) Thrombolysis,Cardiac,PMJAY,22400,3,Systemic (for MI) Thrombolysis,pmjay_hbp_2022
MC021A,Arteriovenous Malformation (AVM) in the Limbs,Cardiac,PMJAY,50800,3,Arteriovenous Malformation (AVM) in the Limbs,pmjay_hbp_2022
MC022A,First Follow-up- 2-4 weeks after discharge - AT NETWORK HOSPITAL(Inc,Cardiac,PMJAY,0,3,First Follow-up- 2-4 weeks after discharge - AT NETWORK HOSPITAL(Inc. in package),pmjay_hbp_2022
MC022B,Second months Follow-up- After 3,Cardiac,PMJAY,4400,3,Second months Follow-up- After 3,pmjay_hbp_2022
MC022C,Third months Follow-up- After 3,Cardiac,PMJAY,2200,3,Third months Follow-up- After 3,pmjay_hbp_2022
MC022D,fourth months Follow-up- After 3,Cardiac,PMJAY,2200,3,fourth months Follow-up- After 3,pmjay_hbp_2022
